,k,ACC
0,8,0.7023263190742614
0,8,0.7053214902423797
0,8,0.7058059970819373
0,8,0.6951896086420369
0,8,0.6925082287891926
0,8,0.6683179180788267
0,8,0.6876663508209372
0,8,0.6670672629460237
0,8,0.6775080771610605
0,8,0.7014761452492266
0,8,0.6626004462154099
0,8,0.6911118429691363
0,8,0.6687070062046132
0,8,0.6858246821884366
0,8,0.699043535731114
0,8,0.6927096018556432
0,8,0.6632637469125695
0,8,0.6692071677546197
0,9,0.6919237646276223
0,9,0.6660505648381282
0,9,0.6693604415814829
0,9,0.6803426906111653
0,9,0.6780260870785713
0,9,0.6876957178622015
0,9,0.6793804632205738
0,9,0.6918071157837683
0,9,0.6897898618728536
0,9,0.685693590942443
0,9,0.6837304081315437
0,9,0.7001379022354741
0,9,0.6845176019066176
0,9,0.678972707618851
0,9,0.6819548159362699
0,9,0.6755809266896224
0,9,0.6843202014751458
0,9,0.6899308678828169
0,9,0.6663716007998279
0,9,0.6855901324032756
0,9,0.7137524984422615
0,9,0.6994260560900651
0,9,0.6763320163768167
0,9,0.6758775860631515
0,9,0.6839722743294199
0,9,0.6902118397853395
0,9,0.6680384015806201
0,9,0.701845088275512
0,9,0.6834122525293835
0,9,0.6832786134379357
0,9,0.6803973975895886
0,9,0.6844168085188754
0,9,0.6990093790826173
0,9,0.6784313431924663
0,9,0.6931903845464397
0,9,0.6799892067106716
0,9,0.6930723950202751
0,9,0.6899327990182307
0,9,0.6827354531760144
0,9,0.6921979139682163
0,9,0.6629041425252338
0,9,0.6810903603709941
0,9,0.6909737206736897
0,9,0.7040051693220772
0,9,0.6928154227627181
0,9,0.7088174815751782
0,9,0.6975574228561037
0,9,0.6830001479166334
0,9,0.6873397432266241
0,9,0.6902029313198673
0,10,0.664960922165351
0,10,0.6668041182634379
0,10,0.6753779669861594
0,10,0.6735098499173174
0,10,0.6758673675348805
0,10,0.6703008567436335
0,10,0.6685724865882491
0,10,0.6668543784493298
0,10,0.6701433802881026
0,10,0.6727639467807645
0,10,0.6770842886661499
0,10,0.6763630179277287
0,10,0.6617008441986407
0,10,0.6623043918946674
0,10,0.6871561461715527
0,10,0.6882683887923895
0,10,0.6845810799434939
0,10,0.6776535577005738
0,10,0.6747813857184366
0,10,0.6824088637998837
0,10,0.6808957620991247
0,10,0.6714900745320453
0,10,0.6729977304503683
0,10,0.6646295886252593
0,10,0.6718308224355309
0,10,0.6705412884626062
0,10,0.6662092166843806
0,10,0.6778679837500761
0,10,0.6873225176827855
0,10,0.6835174662298874
0,10,0.6826400026898404
0,10,0.6794329369023374
0,10,0.6656479485915606
0,10,0.6831089942545079
0,10,0.6742482294712229
0,10,0.6833264379126052
0,10,0.6828222706240534
0,10,0.6623391322139702
0,10,0.6711760769487797
0,10,0.6779206355698246
0,10,0.6842142250069752
0,10,0.6831241672759317
0,10,0.6790450164533539
0,10,0.675126911326579
0,10,0.6809797041935435
0,10,0.6719716036575006
0,10,0.6829825383682472
0,10,0.6710347437827643
0,10,0.6700262279971488
0,10,0.6613743147852983
