,Labels,Value
678,R-VAE,3
679,R-VAE,3
680,R-VAE,3
681,R-VAE,2
682,R-VAE,3
683,R-VAE,3
684,R-VAE,3
685,R-VAE,3
686,R-VAE,3
687,R-VAE,3
688,R-VAE,3
689,R-VAE,3
690,R-VAE,2
691,R-VAE,2
692,R-VAE,2
693,R-VAE,3
694,R-VAE,1
695,R-VAE,1
696,R-VAE,1
697,R-VAE,1
698,R-VAE,0
699,R-VAE,2
700,R-VAE,2
701,R-VAE,2
702,R-VAE,4
703,R-VAE,3
704,R-VAE,3
705,R-VAE,3
706,R-VAE,3
707,R-VAE,3
708,R-VAE,2
709,R-VAE,2
710,R-VAE,3
711,R-VAE,2
712,R-VAE,3
713,R-VAE,2
714,R-VAE,3
715,R-VAE,3
716,R-VAE,4
717,R-VAE,4
718,R-VAE,4
719,R-VAE,3
720,R-VAE,2
721,R-VAE,2
722,R-VAE,2
723,R-VAE,1
724,R-VAE,2
725,R-VAE,2
726,R-VAE,2
727,R-VAE,1
728,R-VAE,2
729,R-VAE,2
730,R-VAE,3
731,R-VAE,2
732,R-VAE,2
733,R-VAE,2
734,R-VAE,2
735,R-VAE,2
736,R-VAE,2
737,R-VAE,3
738,R-VAE,2
739,R-VAE,2
740,R-VAE,2
741,R-VAE,1
742,R-VAE,1
743,R-VAE,1
744,R-VAE,1
745,R-VAE,1
746,R-VAE,2
747,R-VAE,1
748,R-VAE,1
749,R-VAE,0
750,R-VAE,0
751,R-VAE,0
752,R-VAE,0
753,R-VAE,1
754,R-VAE,1
755,R-VAE,1
756,R-VAE,1
757,R-VAE,2
758,R-VAE,2
759,R-VAE,2
760,R-VAE,1
761,R-VAE,1
762,R-VAE,1
763,R-VAE,1
764,R-VAE,1
765,R-VAE,1
766,R-VAE,0
767,R-VAE,0
768,R-VAE,0
769,R-VAE,0
770,R-VAE,0
771,R-VAE,0
772,R-VAE,0
773,R-VAE,0
774,R-VAE,1
775,R-VAE,2
776,R-VAE,3
777,R-VAE,2
778,R-VAE,2
779,R-VAE,2
780,R-VAE,3
781,R-VAE,2
782,R-VAE,2
783,R-VAE,2
784,R-VAE,3
785,R-VAE,4
786,R-VAE,4
787,R-VAE,4
788,R-VAE,4
789,R-VAE,4
790,R-VAE,4
791,R-VAE,4
792,R-VAE,4
793,R-VAE,4
794,R-VAE,4
795,R-VAE,4
796,R-VAE,4
797,R-VAE,4
798,R-VAE,4
799,R-VAE,4
800,R-VAE,3
801,R-VAE,3
802,R-VAE,3
803,R-VAE,2
804,R-VAE,3
805,R-VAE,3
806,R-VAE,3
807,R-VAE,3
808,R-VAE,3
809,R-VAE,3
810,R-VAE,3
811,R-VAE,3
812,R-VAE,3
813,R-VAE,3
814,R-VAE,4
815,R-VAE,4
816,R-VAE,4
817,R-VAE,4
818,R-VAE,3
819,R-VAE,3
820,R-VAE,4
821,R-VAE,4
822,R-VAE,4
823,R-VAE,4
824,R-VAE,4
825,R-VAE,4
826,R-VAE,4
827,R-VAE,4
828,R-VAE,3
829,R-VAE,3
830,R-VAE,2
831,R-VAE,3
832,R-VAE,2
833,R-VAE,2
834,R-VAE,2
835,R-VAE,2
836,R-VAE,3
837,R-VAE,1
838,R-VAE,1
839,R-VAE,1
840,R-VAE,1
841,R-VAE,2
842,R-VAE,2
843,R-VAE,3
844,R-VAE,3
845,R-VAE,3
846,R-VAE,3
847,R-VAE,3
848,R-VAE,2
849,R-VAE,2
850,R-VAE,2
851,R-VAE,2
852,R-VAE,3
853,R-VAE,3
854,R-VAE,3
855,R-VAE,3
856,R-VAE,1
857,R-VAE,2
858,R-VAE,2
859,R-VAE,3
860,R-VAE,3
861,R-VAE,2
862,R-VAE,1
863,R-VAE,1
864,R-VAE,1
865,R-VAE,1
866,R-VAE,1
867,R-VAE,2
868,R-VAE,2
869,R-VAE,2
870,R-VAE,1
871,R-VAE,0
872,R-VAE,1
873,R-VAE,1
874,R-VAE,1
875,R-VAE,1
876,R-VAE,1
877,R-VAE,2
878,R-VAE,2
879,R-VAE,4
880,R-VAE,3
881,R-VAE,4
882,R-VAE,4
883,R-VAE,4
884,R-VAE,3
885,R-VAE,2
886,R-VAE,2
887,R-VAE,1
888,R-VAE,1
889,R-VAE,2
890,R-VAE,3
891,R-VAE,2
892,R-VAE,1
893,R-VAE,1
894,R-VAE,0
895,R-VAE,0
896,R-VAE,0
897,R-VAE,0
898,R-VAE,1
899,R-VAE,1
900,R-VAE,2
901,R-VAE,2
902,R-VAE,3
903,R-VAE,3
904,R-VAE,4
905,R-VAE,4
906,R-VAE,2
907,R-VAE,3
908,R-VAE,2
909,R-VAE,1
910,R-VAE,1
911,R-VAE,1
912,R-VAE,1
913,R-VAE,1
914,R-VAE,1
915,R-VAE,2
916,R-VAE,3
917,R-VAE,3
918,R-VAE,4
919,R-VAE,4
920,R-VAE,3
921,R-VAE,3
922,R-VAE,2
923,R-VAE,1
924,R-VAE,1
925,R-VAE,0
926,R-VAE,0
927,R-VAE,1
928,R-VAE,0
929,R-VAE,1
930,R-VAE,1
931,R-VAE,1
932,R-VAE,1
933,R-VAE,1
934,R-VAE,2
935,R-VAE,1
936,R-VAE,1
937,R-VAE,3
938,R-VAE,3
939,R-VAE,2
940,R-VAE,3
941,R-VAE,2
942,R-VAE,3
943,R-VAE,3
944,R-VAE,3
945,R-VAE,4
946,R-VAE,4
947,R-VAE,4
948,R-VAE,4
949,R-VAE,4
950,R-VAE,4
951,R-VAE,4
952,R-VAE,4
953,R-VAE,4
954,R-VAE,4
955,R-VAE,4
956,R-VAE,3
957,R-VAE,3
958,R-VAE,3
959,R-VAE,3
960,R-VAE,3
961,R-VAE,2
962,R-VAE,3
963,R-VAE,2
964,R-VAE,1
965,R-VAE,0
966,R-VAE,0
967,R-VAE,1
968,R-VAE,1
969,R-VAE,0
970,R-VAE,0
971,R-VAE,0
972,R-VAE,0
973,R-VAE,0
974,R-VAE,0
975,R-VAE,0
976,R-VAE,1
977,R-VAE,1
978,R-VAE,1
979,R-VAE,1
980,R-VAE,1
981,R-VAE,1
982,R-VAE,2
983,R-VAE,3
984,R-VAE,3
985,R-VAE,4
986,R-VAE,4
987,R-VAE,4
988,R-VAE,4
989,R-VAE,4
990,R-VAE,3
991,R-VAE,3
992,R-VAE,2
993,R-VAE,3
994,R-VAE,2
995,R-VAE,2
996,R-VAE,2
997,R-VAE,2
998,R-VAE,1
999,R-VAE,2
1000,R-VAE,2
1001,R-VAE,2
1002,R-VAE,2
1003,R-VAE,2
1004,R-VAE,2
1005,R-VAE,1
1006,R-VAE,0
1007,R-VAE,1
1008,R-VAE,0
1009,R-VAE,0
1010,R-VAE,0
1011,R-VAE,1
1012,R-VAE,0
1013,R-VAE,1
1014,R-VAE,2
1015,R-VAE,2
1016,R-VAE,2
1017,R-VAE,2
1018,R-VAE,2
1019,R-VAE,2
1020,R-VAE,3
1021,R-VAE,3
1022,R-VAE,3
1023,R-VAE,3
1024,R-VAE,2
1025,R-VAE,2
1026,R-VAE,2
1027,R-VAE,2
1028,R-VAE,3
1029,R-VAE,3
1030,R-VAE,2
1031,R-VAE,2
1032,R-VAE,2
1033,R-VAE,3
1034,R-VAE,2
1035,R-VAE,2
1036,R-VAE,2
1037,R-VAE,3
1038,R-VAE,3
1039,R-VAE,4
1040,R-VAE,4
1041,R-VAE,4
1042,R-VAE,2
1043,R-VAE,1
1044,R-VAE,1
1045,R-VAE,1
1046,R-VAE,1
1047,R-VAE,1
1048,R-VAE,1
1049,R-VAE,0
1050,R-VAE,0
1051,R-VAE,1
1052,R-VAE,0
1053,R-VAE,1
1054,R-VAE,1
1055,R-VAE,2
1056,R-VAE,2
1057,R-VAE,3
1058,R-VAE,2
1059,R-VAE,3
1060,R-VAE,3
1061,R-VAE,2
1062,R-VAE,1
1063,R-VAE,2
1064,R-VAE,1
1065,R-VAE,2
1066,R-VAE,2
1067,R-VAE,2
1068,R-VAE,3
1069,R-VAE,3
1070,R-VAE,3
1071,R-VAE,4
1072,R-VAE,4
1073,R-VAE,3
1074,R-VAE,4
1075,R-VAE,3
1076,R-VAE,3
1077,R-VAE,3
1078,R-VAE,3
1079,R-VAE,1
1080,R-VAE,0
1081,R-VAE,1
1082,R-VAE,0
1083,R-VAE,0
1084,R-VAE,0
1085,R-VAE,0
1086,R-VAE,0
1087,R-VAE,0
1088,R-VAE,0
1089,R-VAE,0
1090,R-VAE,0
1091,R-VAE,0
1092,R-VAE,1
1093,R-VAE,1
1094,R-VAE,0
1095,R-VAE,1
1096,R-VAE,1
1097,R-VAE,1
1098,R-VAE,0
1099,R-VAE,0
1100,R-VAE,0
1101,R-VAE,1
1102,R-VAE,1
1103,R-VAE,2
1104,R-VAE,2
1105,R-VAE,1
1106,R-VAE,1
1107,R-VAE,1
1108,R-VAE,1
1109,R-VAE,1
1110,R-VAE,1
1111,R-VAE,1
1112,R-VAE,1
1113,R-VAE,0
1114,R-VAE,0
1115,R-VAE,0
1116,R-VAE,0
1117,R-VAE,0
1118,R-VAE,0
1119,R-VAE,0
1120,R-VAE,0
1121,R-VAE,1
1122,R-VAE,0
1123,R-VAE,1
1124,R-VAE,1
1125,R-VAE,2
1126,R-VAE,3
1127,R-VAE,3
1128,R-VAE,4
1129,R-VAE,4
1130,R-VAE,3
1131,R-VAE,3
1132,R-VAE,4
1133,R-VAE,3
1134,R-VAE,3
1135,R-VAE,3
1136,R-VAE,3
1137,R-VAE,3
1138,R-VAE,3
1139,R-VAE,2
1140,R-VAE,2
1141,R-VAE,2
1142,R-VAE,2
1143,R-VAE,1
1144,R-VAE,0
1145,R-VAE,1
1146,R-VAE,0
1147,R-VAE,1
1148,R-VAE,1
1149,R-VAE,2
1150,R-VAE,2
1151,R-VAE,4
1152,R-VAE,4
1153,R-VAE,4
1154,R-VAE,4
1155,R-VAE,4
1156,R-VAE,4
1157,R-VAE,4
1158,R-VAE,4
1159,R-VAE,4
1160,R-VAE,4
1161,R-VAE,4
1162,R-VAE,4
1163,R-VAE,4
1164,R-VAE,3
1165,R-VAE,4
1166,R-VAE,4
1167,R-VAE,4
1168,R-VAE,4
1169,R-VAE,4
1170,R-VAE,4
1171,R-VAE,4
1172,R-VAE,3
1173,R-VAE,3
1174,R-VAE,1
1175,R-VAE,0
1176,R-VAE,0
1177,R-VAE,0
1178,R-VAE,0
1179,R-VAE,0
1180,R-VAE,0
1181,R-VAE,0
1182,R-VAE,1
1183,R-VAE,1
1184,R-VAE,1
1185,R-VAE,1
1186,R-VAE,2
1187,R-VAE,2
1188,R-VAE,1
1189,R-VAE,1
1190,R-VAE,2
1191,R-VAE,2
1192,R-VAE,3
1193,R-VAE,3
1194,R-VAE,2
1195,R-VAE,2
1196,R-VAE,2
1197,R-VAE,2
1198,R-VAE,2
1199,R-VAE,3
1200,R-VAE,3
1201,R-VAE,4
1202,R-VAE,4
1203,R-VAE,4
1204,R-VAE,4
1205,R-VAE,3
1206,R-VAE,3
1207,R-VAE,3
1208,R-VAE,3
1209,R-VAE,2
1210,R-VAE,3
1211,R-VAE,4
1212,R-VAE,4
1213,R-VAE,4
1214,R-VAE,3
1215,R-VAE,3
1216,R-VAE,2
1217,R-VAE,3
1218,R-VAE,2
1219,R-VAE,2
1220,R-VAE,3
1221,R-VAE,3
1222,R-VAE,3
1223,R-VAE,1
1224,R-VAE,0
1225,R-VAE,1
1226,R-VAE,1
1227,R-VAE,1
1228,R-VAE,0
1229,R-VAE,1
1230,R-VAE,1
1231,R-VAE,1
1232,R-VAE,0
1233,R-VAE,0
1234,R-VAE,0
1235,R-VAE,0
1236,R-VAE,1
1237,R-VAE,2
1238,R-VAE,2
1239,R-VAE,3
1240,R-VAE,4
1241,R-VAE,4
1242,R-VAE,4
1243,R-VAE,4
1244,R-VAE,4
1245,R-VAE,4
1246,R-VAE,4
1247,R-VAE,4
1248,R-VAE,3
1249,R-VAE,4
1250,R-VAE,4
1251,R-VAE,4
1252,R-VAE,4
1253,R-VAE,4
1254,R-VAE,4
1255,R-VAE,3
1256,R-VAE,3
1257,R-VAE,2
1258,R-VAE,1
1259,R-VAE,1
1260,R-VAE,1
1261,R-VAE,1
1262,R-VAE,1
1263,R-VAE,0
1264,R-VAE,0
1265,R-VAE,1
1266,R-VAE,0
1267,R-VAE,1
1268,R-VAE,1
1269,R-VAE,2
1270,R-VAE,2
1271,R-VAE,2
1272,R-VAE,2
1273,R-VAE,3
1274,R-VAE,3
1275,R-VAE,2
1276,R-VAE,3
1277,R-VAE,3
1278,R-VAE,4
1279,R-VAE,4
1280,R-VAE,3
1281,R-VAE,4
1282,R-VAE,4
1283,R-VAE,4
1284,R-VAE,4
1285,R-VAE,4
1286,R-VAE,4
1287,R-VAE,4
1288,R-VAE,4
1289,R-VAE,3
1290,R-VAE,3
1291,R-VAE,3
1292,R-VAE,2
1293,R-VAE,2
1294,R-VAE,1
1295,R-VAE,1
1296,R-VAE,1
