,Labels,Value
524,RMM-VAE,0
525,RMM-VAE,0
526,RMM-VAE,0
527,RMM-VAE,0
528,RMM-VAE,0
529,RMM-VAE,0
530,RMM-VAE,0
531,RMM-VAE,0
532,RMM-VAE,0
533,RMM-VAE,0
534,RMM-VAE,0
535,RMM-VAE,0
536,RMM-VAE,0
537,RMM-VAE,0
538,RMM-VAE,0
539,RMM-VAE,1
540,RMM-VAE,3
541,RMM-VAE,3
542,RMM-VAE,3
543,RMM-VAE,3
544,RMM-VAE,2
545,RMM-VAE,2
546,RMM-VAE,2
547,RMM-VAE,2
548,RMM-VAE,2
549,RMM-VAE,2
550,RMM-VAE,2
551,RMM-VAE,2
552,RMM-VAE,2
553,RMM-VAE,2
554,RMM-VAE,2
555,RMM-VAE,2
556,RMM-VAE,2
557,RMM-VAE,1
558,RMM-VAE,1
559,RMM-VAE,0
560,RMM-VAE,0
561,RMM-VAE,0
562,RMM-VAE,0
563,RMM-VAE,0
564,RMM-VAE,0
565,RMM-VAE,0
566,RMM-VAE,0
567,RMM-VAE,1
568,RMM-VAE,2
569,RMM-VAE,2
570,RMM-VAE,4
571,RMM-VAE,4
572,RMM-VAE,4
573,RMM-VAE,2
574,RMM-VAE,2
575,RMM-VAE,1
576,RMM-VAE,0
577,RMM-VAE,0
578,RMM-VAE,0
579,RMM-VAE,0
580,RMM-VAE,0
581,RMM-VAE,0
582,RMM-VAE,0
583,RMM-VAE,0
584,RMM-VAE,1
585,RMM-VAE,1
586,RMM-VAE,1
587,RMM-VAE,0
588,RMM-VAE,0
589,RMM-VAE,0
590,RMM-VAE,1
591,RMM-VAE,3
592,RMM-VAE,3
593,RMM-VAE,3
594,RMM-VAE,3
595,RMM-VAE,3
596,RMM-VAE,1
597,RMM-VAE,1
598,RMM-VAE,0
599,RMM-VAE,0
600,RMM-VAE,0
601,RMM-VAE,0
602,RMM-VAE,2
603,RMM-VAE,2
604,RMM-VAE,2
605,RMM-VAE,2
606,RMM-VAE,2
607,RMM-VAE,2
608,RMM-VAE,2
609,RMM-VAE,2
610,RMM-VAE,2
611,RMM-VAE,2
612,RMM-VAE,2
613,RMM-VAE,2
614,RMM-VAE,2
615,RMM-VAE,3
616,RMM-VAE,3
617,RMM-VAE,4
618,RMM-VAE,4
619,RMM-VAE,4
620,RMM-VAE,4
621,RMM-VAE,4
622,RMM-VAE,4
623,RMM-VAE,4
624,RMM-VAE,3
625,RMM-VAE,3
626,RMM-VAE,3
627,RMM-VAE,3
628,RMM-VAE,3
629,RMM-VAE,2
630,RMM-VAE,2
631,RMM-VAE,4
632,RMM-VAE,4
633,RMM-VAE,4
634,RMM-VAE,4
635,RMM-VAE,4
636,RMM-VAE,3
637,RMM-VAE,3
638,RMM-VAE,2
639,RMM-VAE,2
640,RMM-VAE,2
641,RMM-VAE,2
642,RMM-VAE,2
643,RMM-VAE,2
644,RMM-VAE,2
645,RMM-VAE,2
646,RMM-VAE,2
647,RMM-VAE,2
648,RMM-VAE,2
649,RMM-VAE,2
650,RMM-VAE,2
651,RMM-VAE,2
652,RMM-VAE,2
653,RMM-VAE,2
654,RMM-VAE,0
655,RMM-VAE,0
656,RMM-VAE,0
657,RMM-VAE,0
658,RMM-VAE,0
659,RMM-VAE,0
660,RMM-VAE,0
661,RMM-VAE,0
662,RMM-VAE,0
663,RMM-VAE,0
664,RMM-VAE,0
665,RMM-VAE,1
666,RMM-VAE,1
667,RMM-VAE,1
668,RMM-VAE,2
669,RMM-VAE,2
670,RMM-VAE,2
671,RMM-VAE,2
672,RMM-VAE,2
673,RMM-VAE,2
674,RMM-VAE,0
675,RMM-VAE,2
676,RMM-VAE,2
677,RMM-VAE,2
678,RMM-VAE,2
679,RMM-VAE,2
680,RMM-VAE,2
681,RMM-VAE,2
682,RMM-VAE,2
683,RMM-VAE,2
684,RMM-VAE,2
685,RMM-VAE,2
686,RMM-VAE,2
687,RMM-VAE,2
688,RMM-VAE,2
689,RMM-VAE,2
690,RMM-VAE,2
691,RMM-VAE,2
692,RMM-VAE,2
693,RMM-VAE,2
694,RMM-VAE,2
695,RMM-VAE,0
696,RMM-VAE,0
697,RMM-VAE,0
698,RMM-VAE,0
699,RMM-VAE,1
700,RMM-VAE,2
701,RMM-VAE,2
702,RMM-VAE,4
703,RMM-VAE,4
704,RMM-VAE,4
705,RMM-VAE,2
706,RMM-VAE,2
707,RMM-VAE,2
708,RMM-VAE,2
709,RMM-VAE,1
710,RMM-VAE,1
711,RMM-VAE,1
712,RMM-VAE,1
713,RMM-VAE,3
714,RMM-VAE,3
715,RMM-VAE,4
716,RMM-VAE,4
717,RMM-VAE,4
718,RMM-VAE,4
719,RMM-VAE,4
720,RMM-VAE,3
721,RMM-VAE,3
722,RMM-VAE,3
723,RMM-VAE,3
724,RMM-VAE,3
725,RMM-VAE,3
726,RMM-VAE,3
727,RMM-VAE,2
728,RMM-VAE,2
729,RMM-VAE,2
730,RMM-VAE,2
731,RMM-VAE,1
732,RMM-VAE,1
733,RMM-VAE,1
734,RMM-VAE,1
735,RMM-VAE,1
736,RMM-VAE,1
737,RMM-VAE,1
738,RMM-VAE,1
739,RMM-VAE,1
740,RMM-VAE,0
741,RMM-VAE,0
742,RMM-VAE,0
743,RMM-VAE,0
744,RMM-VAE,0
745,RMM-VAE,1
746,RMM-VAE,2
747,RMM-VAE,0
748,RMM-VAE,0
749,RMM-VAE,0
750,RMM-VAE,0
751,RMM-VAE,0
752,RMM-VAE,0
753,RMM-VAE,0
754,RMM-VAE,0
755,RMM-VAE,0
756,RMM-VAE,2
757,RMM-VAE,2
758,RMM-VAE,2
759,RMM-VAE,2
760,RMM-VAE,2
761,RMM-VAE,2
762,RMM-VAE,1
763,RMM-VAE,1
764,RMM-VAE,1
765,RMM-VAE,1
766,RMM-VAE,0
767,RMM-VAE,0
768,RMM-VAE,0
769,RMM-VAE,0
770,RMM-VAE,0
771,RMM-VAE,0
772,RMM-VAE,0
773,RMM-VAE,0
774,RMM-VAE,1
775,RMM-VAE,1
776,RMM-VAE,2
777,RMM-VAE,2
778,RMM-VAE,2
779,RMM-VAE,1
780,RMM-VAE,1
781,RMM-VAE,1
782,RMM-VAE,1
783,RMM-VAE,2
784,RMM-VAE,2
785,RMM-VAE,2
786,RMM-VAE,2
787,RMM-VAE,4
788,RMM-VAE,3
789,RMM-VAE,3
790,RMM-VAE,4
791,RMM-VAE,4
792,RMM-VAE,4
793,RMM-VAE,4
794,RMM-VAE,4
795,RMM-VAE,4
796,RMM-VAE,4
797,RMM-VAE,4
798,RMM-VAE,4
799,RMM-VAE,3
800,RMM-VAE,3
801,RMM-VAE,3
802,RMM-VAE,3
803,RMM-VAE,3
804,RMM-VAE,3
805,RMM-VAE,4
806,RMM-VAE,4
807,RMM-VAE,2
808,RMM-VAE,2
809,RMM-VAE,2
810,RMM-VAE,2
811,RMM-VAE,2
812,RMM-VAE,4
813,RMM-VAE,4
814,RMM-VAE,4
815,RMM-VAE,4
816,RMM-VAE,4
817,RMM-VAE,4
818,RMM-VAE,4
819,RMM-VAE,2
820,RMM-VAE,4
821,RMM-VAE,4
822,RMM-VAE,4
823,RMM-VAE,4
824,RMM-VAE,4
825,RMM-VAE,4
826,RMM-VAE,4
827,RMM-VAE,4
828,RMM-VAE,4
829,RMM-VAE,4
830,RMM-VAE,4
831,RMM-VAE,3
832,RMM-VAE,3
833,RMM-VAE,3
834,RMM-VAE,3
835,RMM-VAE,3
836,RMM-VAE,3
837,RMM-VAE,3
838,RMM-VAE,3
839,RMM-VAE,1
840,RMM-VAE,3
841,RMM-VAE,3
842,RMM-VAE,3
843,RMM-VAE,3
844,RMM-VAE,4
845,RMM-VAE,3
846,RMM-VAE,3
847,RMM-VAE,3
848,RMM-VAE,1
849,RMM-VAE,1
850,RMM-VAE,1
851,RMM-VAE,1
852,RMM-VAE,2
853,RMM-VAE,2
854,RMM-VAE,2
855,RMM-VAE,2
856,RMM-VAE,2
857,RMM-VAE,2
858,RMM-VAE,2
859,RMM-VAE,2
860,RMM-VAE,2
861,RMM-VAE,3
862,RMM-VAE,1
863,RMM-VAE,1
864,RMM-VAE,1
865,RMM-VAE,1
866,RMM-VAE,1
867,RMM-VAE,3
868,RMM-VAE,1
869,RMM-VAE,0
870,RMM-VAE,0
871,RMM-VAE,0
872,RMM-VAE,0
873,RMM-VAE,0
874,RMM-VAE,2
875,RMM-VAE,2
876,RMM-VAE,3
877,RMM-VAE,3
878,RMM-VAE,3
879,RMM-VAE,4
880,RMM-VAE,4
881,RMM-VAE,4
882,RMM-VAE,4
883,RMM-VAE,4
884,RMM-VAE,2
885,RMM-VAE,2
886,RMM-VAE,2
887,RMM-VAE,2
888,RMM-VAE,2
889,RMM-VAE,2
890,RMM-VAE,2
891,RMM-VAE,1
892,RMM-VAE,1
893,RMM-VAE,1
894,RMM-VAE,1
895,RMM-VAE,0
896,RMM-VAE,1
897,RMM-VAE,1
898,RMM-VAE,1
899,RMM-VAE,1
900,RMM-VAE,1
901,RMM-VAE,2
902,RMM-VAE,4
903,RMM-VAE,4
904,RMM-VAE,4
905,RMM-VAE,4
906,RMM-VAE,3
907,RMM-VAE,1
908,RMM-VAE,1
909,RMM-VAE,0
910,RMM-VAE,0
911,RMM-VAE,0
912,RMM-VAE,0
913,RMM-VAE,0
914,RMM-VAE,1
915,RMM-VAE,3
916,RMM-VAE,3
917,RMM-VAE,3
918,RMM-VAE,3
919,RMM-VAE,3
920,RMM-VAE,3
921,RMM-VAE,2
922,RMM-VAE,2
923,RMM-VAE,1
924,RMM-VAE,0
925,RMM-VAE,0
926,RMM-VAE,0
927,RMM-VAE,1
928,RMM-VAE,1
929,RMM-VAE,1
930,RMM-VAE,3
931,RMM-VAE,3
932,RMM-VAE,1
933,RMM-VAE,1
934,RMM-VAE,1
935,RMM-VAE,3
936,RMM-VAE,2
937,RMM-VAE,3
938,RMM-VAE,3
939,RMM-VAE,3
940,RMM-VAE,3
941,RMM-VAE,3
942,RMM-VAE,4
943,RMM-VAE,4
944,RMM-VAE,4
